institution,year,rank,score
60000434,2017,2831,1
60000434,2018,2944,1
60000434,2019,3037,1
60000434,2020,3168,1
60000463,2007,1963,1
60000463,2008,2085,1
60000463,2009,1800,2
60000463,2010,1616,3
60000463,2011,1517,4
60000463,2012,1347,6
60000463,2013,1394,6
60000463,2014,1431,6
60000463,2015,1604,5
60000463,2016,1810,4
60000463,2017,2336,2
60000463,2018,2410,2
60000463,2019,2476,2
60000463,2020,2568,2
60000473,1994,184,8
60000473,1995,206,15
60000473,1996,240,21
60000473,1997,249,28
60000473,1998,287,31
60000473,1999,331,28
60000473,2000,358,27
60000473,2001,376,26
60000473,2002,421,22
60000473,2003,444,22
60000473,2004,435,26
60000473,2005,466,24
60000473,2006,468,26
60000473,2007,493,26
60000473,2008,456,32
60000473,2009,512,30
60000473,2010,545,29
60000473,2011,591,28
60000473,2012,664,25
60000473,2013,813,18
60000473,2014,884,16
60000473,2015,895,17
60000473,2016,1048,13
60000473,2017,905,18
60000473,2018,866,20
60000473,2019,950,18
60000473,2020,924,20
60000480,1995,868,1
60000480,1996,1086,1
60000480,1997,1226,1
60000480,1998,1367,1
60000480,1999,1426,1
60000480,2003,1627,1
60000480,2004,1694,1
60000480,2005,1759,1
60000480,2006,1857,1
60000480,2007,1963,1
60000480,2011,2363,1
60000480,2012,1766,3
60000480,2013,1641,4
60000480,2014,1686,4
60000480,2015,1764,4
60000480,2016,2013,3
60000480,2017,2831,1
60000480,2019,3037,1
60000480,2020,2568,2
60000481,1994,204,7
60000481,1995,192,16
60000481,1996,240,21
60000481,1997,238,30
60000481,1998,230,40
60000481,1999,215,47
60000481,2000,212,52
60000481,2001,189,58
60000481,2002,180,63
60000481,2003,166,75
60000481,2004,176,77
60000481,2005,167,86
60000481,2006,145,103
60000481,2007,136,117
60000481,2008,134,126
60000481,2009,121,149
60000481,2010,113,163
60000481,2011,118,163
60000481,2012,121,177
60000481,2013,125,179
60000481,2014,140,167
60000481,2015,143,165
