institution,2000,2001,2002,2003,2004
University of Illinois,100,78,71,79,53
"University of Illinois, Chicago",45,42,39,42,28
"University of Illinois, Springfield",7,5,7,7,5
University of Indianapolis,1,1,1,1,1
University of Iowa,64,45,41,44,30
University of Kansas,48,33,33,37,30
University of Kentucky,47,44,38,41,28
University of La Verne,0,0,0,2,2
University of Leeds,5,7,6,10,0
University of Lethbridge,18,5,4,5,4
University of Louisiana at Monroe,16,7,7,7,5
"University of Louisiana, Lafayette",22,16,14,16,10
University of Louisville,18,19,18,19,13
University of Maine,19,18,14,14,8
University of Manchester,50,26,6,7,4
University of Manitoba,25,11,11,12,9
University of Mary Hardin-Baylor,3,2,2,2,1
University of Mary Washington,7,6,6,6,6
University of Maryland Eastern Shore,0,0,0,3,0
"University of Maryland, Baltimore County",9,9,9,9,9
"University of Maryland, College Park",95,66,56,55,48
University of Massachusetts,69,57,57,57,43
University of Massachusetts Boston,25,23,22,16,14
University of Melbourne,12,14,15,7,9
University of Memphis,39,28,28,33,19
University of Miami,46,32,28,29,21
University of Michigan,96,50,50,53,42
University of Michigan-Dearborn,23,14,13,13,14
University of Michigan-Flint,6,7,9,8,5
University of Minnesota,66,41,37,48,32
University of Minnesota Duluth,21,15,16,16,10
University of Mississippi,36,37,26,24,18
University of Missouri,45,39,34,33,19
University of Missouri-St. Louis,28,21,21,22,15
University of Missouri–Kansas City,17,19,19,16,11
University of Montana,13,14,12,14,9
University of Montevallo,3,4,4,2,2
University of Navarra,2,2,2,0,0
University of Nebraska,32,32,31,31,22
University of Nebraska at Kearney,13,7,6,8,4
University of Nebraska at Omaha,28,22,21,24,13
University of Nebraska-Lincoln,14,0,0,0,0
"University of Nevada, Las Vegas",29,30,31,34,26
"University of Nevada, Reno",29,21,25,23,17
University of New Brunswick,13,7,5,4,5
University of New England Australia,11,7,7,7,0
University of New Hampshire,18,21,21,24,17
University of New Haven,6,11,9,9,6
University of New Mexico,50,29,27,29,19
University of New Orleans,35,23,21,24,16
University of New South Wales,15,29,30,0,0
University of Newcastle,4,4,6,0,0
University of North Alabama,6,6,7,7,5
University of North Carolina,83,60,62,61,43
University of North Carolina Wilmington,21,21,20,20,12
University of North Carolina at Asheville,7,7,7,7,5
University of North Carolina at Pembroke,3,3,4,4,4
"University of North Carolina, Charlotte",41,23,23,24,19
"University of North Carolina, Greensboro",39,23,22,25,19
University of North Dakota,18,17,17,19,10
University of North Florida,25,20,16,18,15
University of North Texas,49,34,34,40,24
University of Northern Colorado,16,16,15,16,9
University of Northern Iowa,36,26,24,24,18
University of Notre Dame,84,60,44,50,33
University of Nottingham,6,4,4,6,0
University of Oklahoma,44,36,35,34,18
University of Oregon,39,33,30,28,24
University of Otago,11,10,10,8,5
University of Ottawa,9,10,10,10,0
University of Oxford,3,3,3,4,0
University of Pennsylvania,133,73,78,72,63
University of Pittsburgh,35,39,40,41,29
"University of Pittsburgh, Johnstown",1,1,1,1,1
University of Portland,8,8,8,7,6
University of Portsmouth,2,2,0,0,0
University of Puerto Rico at Mayagüez,2,0,0,0,0
University of Puget Sound,11,11,11,10,10
University of Quebec in Montreal,8,8,7,7,0
University of Queensland,36,15,17,6,9
University of Redlands,2,3,1,7,6
University of Regina,4,2,2,0,0
University of Rhode Island,31,20,21,21,15
University of Richmond,26,20,18,20,18
University of Rio Grande,3,3,3,3,3
University of Rochester,34,40,36,34,24
University of San Diego,24,18,17,17,13
University of San Francisco,23,15,15,15,11
University of Saskatchewan,20,13,11,13,6
University of Scranton,17,13,13,14,10
University of Sharjah,0,0,0,2,0
University of South Alabama,17,7,7,8,6
University of South Carolina,51,39,38,40,23
University of South Carolina Aiken,2,2,2,3,0
"University of South Carolina, Spartanburg",3,2,2,2,2
University of South Dakota,8,8,7,7,3
University of South Florida,50,42,32,34,28
University of Southern California,76,63,60,65,40
University of Southern Indiana,19,13,10,10,7
University of Southern Maine,11,11,13,14,11
University of Southern Mississippi,23,20,19,18,10
University of Southern Queensland,2,2,0,0,0
University of St Thomas Minnesota,20,20,19,22,17
University of St Thomas Texas,8,8,7,8,5
University of Stirling,7,8,8,6,2
University of Sydney,13,12,14,0,0
University of Tampa,14,9,8,10,9
University of Tasmania,2,2,1,1,0
University of Technology Sydney,20,8,8,0,0
University of Tennessee,48,35,31,38,26
"University of Tennessee, Chattanooga",24,15,16,16,15
"University of Tennessee, Martin",12,8,8,8,5
University of Texas at Austin,117,67,62,62,36
"University of Texas, Arlington",38,24,23,23,14
"University of Texas, Brownsville",10,10,7,8,6
"University of Texas, Dallas",49,33,29,33,20
"University of Texas, El Paso",17,20,16,16,10
"University of Texas, Pan American",12,11,11,16,10
"University of Texas, Permian Basin",8,6,6,5,5
"University of Texas, San Antonio",48,32,28,29,18
"University of Texas, Tyler",3,3,4,4,3
University of Toledo,23,16,16,18,13
University of Toronto,29,28,29,28,19
University of Tsukuba,6,1,1,1,0
University of Tulsa,17,11,11,13,7
University of Utah,33,34,35,37,27
University of Vermont,19,15,16,18,18
University of Victoria,23,2,2,4,0
University of Virginia,47,53,48,53,39
University of Wales,0,1,1,1,0
