stu_id,adviser_name,commitee_members,source
"BAYRAKTAR, NIHAL;University of Maryland;2002",John C. Haltiwanger,,Email; Advisor CV; academictree
"BAZILIAUSKAS, ANDY G.;University of Western Ontario;2004",Alan Slivinski,,academictree
"BEAULIER, SCOTT A.;George Mason University;2004",Peter J. Boettke,,academictree
"BECEREN, MEHMET;Brandeis University;2004",Adam Jaffe,,Dissertation
"BECH, MORTEN;University of California, Santa Barbara;2002",Douglas G. Steigerwald,,academictree
"BEKER, PABLO FIDEL;Cornell University;2002",David Easley,Karl Shell; Tapan Mitra,University; academictree
"BELL, STEPHANIE;New School for Social Research;2001",Edward Nell,Willi Semmler; Wynne Godley,Dissertation
"BELLO, OMAR;University of Colorado;2002",James R. Alm,,Email
"BELLOT, JOVIS;Fordham University;2002",Darryl McLeod,Derrick Reagle; Henry Schwalbenberg,Email; academictree
"BELLUZZO, WALTER, JR.;University of Illinois;2002",Roger Koenker,,academictree; Mathematics Genealogy
"BELOVA, EVGENIA;University of Houston;2003",Paul Gregory,Roger Sherman; Nicholas Feltovich; Geraldine Szott Moohr,Dissertation
"BENATI, LUCA;University of Michigan;2001",Robert B. Barsky,,academictree
"BENCZUR, PETER;Massachusetts Institute of Technology;2001",Daron Acemoglu; Rudiger Dornbusch,,Dissertation
"BENELLI, ROBERTO;Massachusetts Institute of Technology;2002",Stephen A. Ross; Bengt Holmström,,Dissertation
"BENETEZ-SILVA, HUGO;Yale University;2001",John Rust,,University
"BENHASSINE, NAJY;Massachusetts Institute of Technology;2001",Abhijit V. Banerjee; Michael R. Kremer,,Dissertation
"BENIGNO, GIANLUCA DAMIANO CARMELO;University of California, Berkeley;2000",Maurice Obstfeld,,academictree
"BENY, LAURA;Harvard University;2002",Andrei Shleifer,Rafael La Porta; Merritt Fox,Dissertation
"BEREZIN, PETER;University of Toronto;2000",Daniel Trefler,,University; academictree
"BERG, JANINE;New School for Social Research;2003",William Milberg,,Dissertation
"BERG, NATHAN;University of Kansas;2001",Donald Lien,,academictree
"BERGER, BRETT;University of Washington;2001",Stephen J. Turnovsky,,academictree
"BERGMAN-WADDELL, MARGO;University of Houston;2003",Nick Feltovich,,academictree
"BERGMAN, NITTAI;Harvard University;2003",Andrei Shleifer,,academictree
"BERGSTRESSER, DANIEL;Massachusetts Institute of Technology;2002",James M. Poterba,,Dissertation
"BERKER, ALI;Michigan State University;2001",Jeff Biddle,,academictree
"BERNARD, DIDEM MINBAY;Boston University;2001",Thomas G. McGuire,Randall P. Ellis; Kevin Lang,Dissertation
"BERSTEIN, SOLANGE MICHELLE;Boston University;2003",Laurence Kotlikoff,,academictree
"BERTHELON, MATIAS;University of Maryland;2003",Roger Betancourt,,academictree
"BERTO VILLAS-BOAS, SOFIA;University of California, Berkeley;2002",Richard Gilbert,,academictree
"BESHAROV, GREGORY;Stanford University;2000",Thomas Nechyba,,academictree
"BESIO, AIJUN;University of Miami;2002",Raymond P. H. Fishe,,academictree
"BESTER, C. ALAN;Duke University;2004",George Tauchen,"Tim Bollerslev; Bjorn Eraker; Albert ""Pete"" Kyle",Dissertation
"BHADRA, LAURA JEAN;American University;2002",Mieke Meurs,,academictree
"BHANDARA, RAVI;University of Massachusetts;2001",James K. Boyce,,academictree
"BHARGAVAN, MYTHREYI;Rutgers University;2000",Roger Klein,,Dissertation
"BHATI, AVINASH;American University;2001",Amos Golan,James P. Lynch; Robert Feinberg,Dissertation
"BHATIA, NAMITA;University of California, Los Angeles;2004",John G. Riley,,academictree
"BHATTACHARYA, JAYANTA;Stanford University;2000",Thomas E. Macurdy,,academictree
"BHOLE, BHARAT;University of Southern California;2004",Jean-Jacques Laffont,,academictree
"BHOWMICK, BISWA;Fordham University;2001",Dominick Salvatore,Darryl McLeod; Derrick Reagle,Email; academictree
"BIAGI, FEDERICO G.;University of British Columbia;2001",Paul Beaudry,Francisco M. Gonzalez,academictree; Commitee CV
"BIELINSKA-KWAPISZ, AGNIESZKA;Georgia State University;2000",Sally Wallace,,Dissertation
"BILLAH, KAAFEE;Cornell University;2002",Steven Kyle,,academictree
"BINENBAUM, ERAN;University of California, Berkeley;2002",Brian D. Wright,David Zilberman; David C. Mowery,Dissertation
"BISAGNI, ELENA;University of California, San Diego;2002",James D. Hamilton,Robert F. Engle; Marjorie Flavin; Philip E. Gill; Bruce N. Lehmann; Halbert White,Dissertation
