node,first_ev-w_mean,first_ev-w-win99_mean,first_ev-w-std_mean,first_ev-w-win99-std_mean,first_deg_mean,second_ev-w_mean,second_ev-w-win99_mean,second_ev-w-std_mean,second_ev-w-win99-std_mean,second_deg_mean,first_dec,second_dec,third_dec,adv_ev-w,adv_ev-w-win99,adv_ev-w-std,adv_ev-w-win99-std,adv_deg,adv_ev-w_d,adv_ev-w-win99_d,adv_ev-w-std_d,adv_ev-w-win99-std_d
17433674100,2.1323348493493465e-08,2.1323348493493465e-08,-0.04542006040620187,-0.14142972159617423,10.636363636363637,1.211376861374234e-07,1.211376861374234e-07,-0.04540082899328389,-0.1350165146174005,9.506172839506172,0,0,0,3.796510801786023e-09,3.796510801786023e-09,-0.045422823076057064,-0.1425564553398364,11,3.795503301234151e-09,3.795503301234151e-09,-0.04544125423653075,-0.14253618722912373
19336384800,1.0657790378688409e-08,1.0657790378688409e-08,-0.04542211539185909,-0.14211500789862844,11.0,2.4548379697762886e-08,2.4548379697762886e-08,-0.0454194390663414,-0.14122251864816243,10.451612903225806,0,0,0,1.5611038006098103e-09,1.5611038006098103e-09,-0.04542325378185663,-0.14270009696070657,3,1.5608507624828408e-09,1.5608507624828408e-09,-0.04544168462295896,-0.14267937098739664
22833332800,7.999434678327271e-09,7.999434678327271e-09,-0.04542447070049874,-0.14228410202363398,3.0,2.7829755575307515e-07,2.7829755575307515e-07,-0.0453723939663007,-0.12492204189624609,12.5,0,0,0,2.6398569497200944e-10,2.6398569497200944e-10,-0.04542350370336557,-0.14278344650155342,4,2.639853813483282e-10,2.639853813483282e-10,-0.045441934394791314,-0.14276246670631706
22984056000,2.1475096406194137e-08,2.1475096406194137e-08,-0.04542003121563476,-0.1414199846483759,7.666666666666667,1.638055436112973e-07,1.638055436112973e-07,-0.045392608145306206,-0.13227505990703242,5.173913043478261,0,0,1,3.117982581013332e-10,3.117982581013332e-10,-0.04542349449110659,-0.1427803741867301,3,3.1093621954640944e-10,3.1093621954640944e-10,-0.04544192535222062,-0.1427594583650422
23029469600,3.0110069213439134e-07,3.0110069213439134e-07,-0.04536615502258818,-0.12345358492502566,9.5,2.044539748210082e-06,2.044539748210082e-06,-0.04503024339730561,-0.01143525682242974,6.421052631578948,0,0,0,4.008604681837582e-08,4.008604681837582e-08,-0.045415831009906336,-0.14022458120179054,4,4.0086038423376976e-08,4.0086038423376976e-08,-0.04543426480371357,-0.14021089722612978
23122476600,5.2186378455040896e-09,5.2186378455040896e-09,-0.045424392072328915,-0.1424633080052462,5.0,7.687485673945488e-08,7.687485673945488e-08,-0.045410586308105884,-0.13786017547258353,9.521739130434783,0,1,0,5.177805645331739e-10,5.177805645331739e-10,-0.04542345480358036,-0.14276713828277574,6,4.829173700086813e-10,4.829173700086813e-10,-0.04544189222923985,-0.14274843879620622
23166985700,1.1802607317479712e-07,1.1802607317479712e-07,-0.04540204265390228,-0.13521637364944797,8.709677419354838,9.137126417469188e-07,9.137126417469188e-07,-0.04524873831697329,-0.084097300074307,8.804878048780488,0,0,1,5.403129854105909e-08,5.403129854105909e-08,-0.04541314411629357,-0.13932849446687615,32,5.401988521648033e-08,5.401988521648033e-08,-0.04543158119252632,-0.1393180959890523
24173931200,3.923553340844444e-10,3.923553340844444e-10,-0.04542470759146651,-0.14277396249775445,2.0,1.0670620288587644e-08,1.0670620288587644e-08,-0.04542272728583373,-0.14211363289946244,7.0,0,0,0,1.9504370057093886e-12,1.9504370057093886e-12,-0.04542355419086303,-0.14280028422692495,2,1.950179040467396e-12,1.950179040467396e-12,-0.04544198486187415,-0.14277925642391995
24279383300,2.050422766339324e-09,2.050422766339324e-09,-0.045423773803844124,-0.14266804660112853,3.0,6.198577981219763e-08,6.198577981219763e-08,-0.04541222594782519,-0.13881711842372363,7.6,0,0,0,1.692722273843664e-10,1.692722273843664e-10,-0.04542352195223021,-0.14278953255031113,4,1.6885776880074046e-10,1.6885776880074046e-10,-0.0454419527160438,-0.14276856193984616
24317720600,2.987958723024273e-08,2.987958723024273e-08,-0.04541902616601721,-0.14087951395858284,8.142857142857142,2.403124253053399e-07,2.403124253053399e-07,-0.04537848222826085,-0.1273602055204304,8.1,0,0,0,1.0487488344050026e-08,1.0487488344050026e-08,-0.04542153389568378,-0.14212650998363457,15,1.0487021955914754e-08,1.0487021955914754e-08,-0.045439965472947506,-0.14210743297184406
24320855100,6.099332505722955e-07,6.099332505722955e-07,-0.04530665154055463,-0.10361068270783684,4.2,1.2110534249862581e-05,7.807509423371728e-06,-0.04309080948980438,0.3588434016212451,7.105263157894737,0,0,0,3.384891982806885e-08,3.384891982806885e-08,-0.04541703274487718,-0.14062536326518632,5,3.384889088264636e-08,3.384889088264636e-08,-0.04543546605697589,-0.14061053798025053
24352527900,5.268872242067472e-08,5.268872242067472e-08,-0.045414017186969066,-0.139414457607233,8.8,2.765692219145922e-07,2.765692219145922e-07,-0.045370881717339336,-0.12502983103987192,15.710526315789474,0,0,1,4.376145767663708e-09,4.376145767663708e-09,-0.04542271139521268,-0.14251920945755728,5,4.3756727175771865e-09,4.3756727175771865e-09,-0.04544114249788748,-0.14249901328998713
24356651700,1.3626678606601206e-07,1.3626678606601206e-07,-0.04539791406010755,-0.13404445244176913,7.75,1.6945221836052935e-06,1.6945221836052935e-06,-0.04509768211258235,-0.0339244247859543,9.129032258064516,0,0,0,5.766805819524218e-09,5.766805819524218e-09,-0.045422443450561324,-0.1424298491469635,4,5.7668008745283485e-09,5.7668008745283485e-09,-0.04544087457136723,-0.1424098777513307
24372394700,5.570232265647316e-07,5.570232265647316e-07,-0.045316844357057524,-0.10700977021561356,13.571428571428571,1.3489885965537644e-06,1.3489885965537644e-06,-0.045164254925465885,-0.056124907370004945,8.56043956043956,0,0,0,1.3560402169637826e-07,1.3560402169637826e-07,-0.04539742713726864,-0.134086836832871,7,1.355851790870584e-07,1.355851790870584e-07,-0.0454158719961807,-0.13409185829952325
24376108500,5.189979266426246e-10,5.189979266426246e-10,-0.04542406886762426,-0.14276644305265243,1.0,2.45879854577067e-08,2.45879854577067e-08,-0.04541943145131059,-0.14121997788020926,8.0,0,0,0,1.0064175644984003e-11,1.0064175644984003e-11,-0.04542355262755296,-0.14279976285852586,1,1.006286331698717e-11,1.006286331698717e-11,-0.045441983299398934,-0.142778736609495
24395324300,2.9268505124370774e-07,2.9268505124370774e-07,-0.04536777617906848,-0.12399422383320059,9.166666666666666,1.6689824285095774e-06,1.6689824285095774e-06,-0.04510260241962327,-0.035565232762931685,8.66,0,0,0,4.775151404037377e-08,4.775151404037377e-08,-0.04541435407027647,-0.13973201759439574,6,4.7751136069264305e-08,4.7751136069264305e-08,-0.045432788532149854,-0.1397197615934375
24405121400,5.487563652628887e-08,5.487563652628887e-08,-0.04541359584588163,-0.13927394806661503,7.6,4.5367264063123066e-07,4.5367264063123066e-07,-0.045336758890015004,-0.11365069829492994,11.466666666666667,0,0,0,3.4380525703884442e-09,3.4380525703884442e-09,-0.04542289214179726,-0.14257948896250336,5,3.437176476268708e-09,3.437176476268708e-09,-0.04544132324905044,-0.14255914676336845
24423598900,2.6307410838399426e-09,2.6307410838399426e-09,-0.045423661993731546,-0.1426307606018723,3.0,2.5809428046929434e-08,2.5809428046929434e-08,-0.04541919611327383,-0.14114149845123872,8.5,0,0,0,5.6211376783186454e-11,5.6211376783186454e-11,-0.04542354373616667,-0.14279679755566754,2,5.6195341060994776e-11,5.6195341060994776e-11,-0.045441974414441665,-0.14277578070407915
24426717700,3.1026545753644135e-06,3.1026545753644135e-06,-0.0448269662438317,0.05654209268415672,13.3125,1.9337403360734293e-06,1.9337403360734293e-06,-0.04505218007703373,-0.018555437607618932,9.988888888888889,0,0,1,1.190373408820178e-06,1.190373408820178e-06,-0.045194200032762234,-0.06631001394067285,17,1.190158073851001e-06,1.190158073851001e-06,-0.04521276486717429,-0.06652085662182186
24459226100,2.508034499391978e-07,2.5080344993964696e-07,-0.0453758459290363,-0.12668529536437406,4.714285714285714,2.5278233550887105e-06,2.5278233550887105e-06,-0.04493712829535961,0.019616333771589407,7.733333333333333,0,0,0,1.6150817828298208e-08,1.6150817828298208e-08,-0.045420442716828,-0.14176259870205982,7,1.6150803405077893e-08,1.6150803405077893e-08,-0.045438874648031397,-0.14174453023870565
24486718300,2.263570604162124e-09,2.263570604162124e-09,-0.04542434706161515,-0.14265374493999539,4.125,2.7566734601754198e-08,2.7566734601754198e-08,-0.04541947191990462,-0.14102813709633238,8.333333333333334,0,0,0,3.711315203072075e-10,3.711315203072075e-10,-0.04542348305910332,-0.14277656158081523,9,3.7112278609403694e-10,3.7112278609403694e-10,-0.04544191376049396,-0.14275560195396872
